Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
"Define the antenna term in different ways, and compare antenna with transmission line.",Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,FALSE,"Define the antenna term in different ways, and compare antenna with transmission line."
Draw and explain different parts of radiation pattern.,Antennas and Propagation,1. Basic antenna concepts,"Summer 2023, Winter 2024",2,3,,High,FALSE,Draw and explain different parts of radiation pattern.
List down different types of antennas and explain them.,Antennas and Propagation,1. Basic antenna concepts,"Winter 2022, Summer 2025, Winter 2025",3,5,,Medium,FALSE,List down different types of antennas and explain them.
Explain different types of antenna apertures.,Antennas and Propagation,1. Basic antenna concepts,Summer 2024,1,3,,Low,FALSE,Explain different types of antenna apertures.
Obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.,Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2022, Winter 2022, Winter 2022, Summer 2024",5,6.4,,High,FALSE,Obtain the ratio of E_theta and H_phi field components of a current element in free space with derivations using Maxwell's equations.
"Derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi.",Antennas and Propagation,2. Radiation of Electric dipole,"Summer 2023, Winter 2024",2,7,,High,FALSE,"Derive an expression for electric and magnetic components of a short dipole antenna if the spherical system is defined in r, theta and phi."
Derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.,Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Winter 2022, Summer 2024, Winter 2024, Winter 2025",5,7,,High,FALSE,Derive the expression for the radiation resistance of half-wave dipole and prove that it is 73 Ohm.
Derive the far field components and radiation resistance of a small circular loop.,Antennas and Propagation,2. Radiation of Electric dipole,"Winter 2021, Summer 2024, Winter 2024, Summer 2025, Winter 2025",5,7,,High,FALSE,Derive the far field components and radiation resistance of a small circular loop.
Derive the far field components of a monopole antenna.,Antennas and Propagation,2. Radiation of Electric dipole,Winter 2025,1,7,,Low,FALSE,Derive the far field components of a monopole antenna.
Derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.,Antennas and Propagation,2. Radiation of Electric dipole,Winter 2021,1,7,,Low,FALSE,Derive reciprocity theorem for antennas. Show that the transmitting and receiving radiation patterns of an antenna are equal.
