Question,Subject,Chapter,Years_Appeared,Frequency,Average_Marks,,Priority,Is_Augmented,Source_Question
"Define and classify Embedded Systems, and list examples of such systems.",Embedded Systems,1. Introduction to Embedded Systems,"Summer 2022, Winter 2022, Winter 2023, Summer 2024, Winter 2024, Summer 2025",6,3.33,,High,FALSE,"Define and classify Embedded Systems, and list examples of such systems."
Describe the components of an Embedded System.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,4,,Low,FALSE,Describe the components of an Embedded System.
Describe the skills required for an embedded system designer.,Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2022, Summer 2023, Summer 2025",4,4.25,,High,FALSE,Describe the skills required for an embedded system designer.
"Describe an embedded processor as GPP, ASIP and Single purpose processor.",Embedded Systems,1. Introduction to Embedded Systems,"Winter 2021, Summer 2023",2,5.5,,Medium,FALSE,"Describe an embedded processor as GPP, ASIP and Single purpose processor."
List down the components available on SoC and describe them with a neat diagram.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,7,,Low,FALSE,List down the components available on SoC and describe them with a neat diagram.
Describe the use of FPGA and SoC to design Embedded system.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,4,,Low,FALSE,Describe the use of FPGA and SoC to design Embedded system.
Discuss the design process in embedded systems with examples.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2024,1,7,,Low,FALSE,Discuss the design process in embedded systems with examples.
Describe criteria to choose microcontroller for designing embedded system.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2025,1,3,,Low,FALSE,Describe criteria to choose microcontroller for designing embedded system.
“Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.,Embedded Systems,1. Introduction to Embedded Systems,Winter 2021,1,3,,Low,FALSE,“Increasing the frequency of an embedded system increases the power dissipation” Justify the statement.
Give classification of Embedded systems.,Embedded Systems,1. Introduction to Embedded Systems,Summer 2024,1,3,,Low,FALSE,Give classification of Embedded systems.
"Describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Winter 2023, Summer 2025, Summer 2025, Winter 2025",7,4.14,,High,FALSE,"Describe Watchdog Timer, Real Time Clock (RTC) and Brown Out Reset (BOR) with examples."
"Compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication.",Embedded Systems,2. Device and Communication Buses,"Winter 2021, Summer 2022, Winter 2022, Summer 2023, Winter 2023, Summer 2024, Summer 2024, Winter 2024, Summer 2025",9,5.78,,High,FALSE,"Compare Wi-Fi, Bluetooth and Zigbee protocols and their features in wireless/mobile communication."
